diag1	share_of_total
V5789  	0.05758642690044660791
486    	0.02776530636357191805
0389   	0.02615846310168009641
5990   	0.01658829367423615870
49121  	0.01573761194735225313
5849   	0.01474514993265436329
42731  	0.01472151988468536591
71536  	0.01346912734232850493
43491  	0.01186228408043668329
41071  	0.01172050379262269902
A419   	0.01131879297714974361
41401  	0.01030270091448285640
4280   	0.00973557976322691935
42823  	0.00829414683711807935
51881  	0.00812873650133509771
6826   	0.00772702568586214230
42833  	0.00753798530211016328
5070   	0.00687634395897823673
7802   	0.00630922280772229968
78659  	0.00609655237600132328
51884  	0.00586025189631134951
J189   	0.00583662184834235213
5789   	0.00510409036130343345
J441   	0.00508046031333443607
71535  	0.00489141992958245705
82021  	0.00465511944989248328
N179   	0.00460785935395448853
4359   	0.00458422930598549115
41519  	0.00437155887426451476
49122  	0.00434792882629551738
5609   	0.00434792882629551738
27651  	0.00420614853848153312
N390   	0.00411162834660554361
56211  	0.00408799829863654623
43310  	0.00406436825066754886
I214   	0.00375717762707058295
00845  	0.00361539733925659869
8208   	0.00361539733925659869
5770   	0.00359176729128760131
49322  	0.00319005647581464590
42843  	0.00319005647581464590
03842  	0.00316642642784564853
2761   	0.00314279637987665115
71596  	0.00307190623596965902
78650  	0.00304827618800066164
42789  	0.00293012594815567476
25080  	0.00290649590018667738
99859  	0.00274108556440369574
29570  	0.00271745551643469836
72887  	0.00269382546846570099
M1711  	0.00269382546846570099
I639   	0.00269382546846570099
I5033  	0.00267019542049670361
3310   	0.00255204518065171672
5589   	0.00252841513268271935
496    	0.00243389494080672984
78097  	0.00243389494080672984
71516  	0.00243389494080672984
4019   	0.00241026489283773246
72402  	0.00238663484486873508
82009  	0.00233937474893074033
M1712  	0.00226848460502374820
V571   	0.00226848460502374820
43411  	0.00224485455705475082
I5023  	0.00224485455705475082
56212  	0.00217396441314775869
56081  	0.00215033436517876131
V5811  	0.00210307426924076656
4241   	0.00205581417330277180
V5481  	0.00200855407736477705
2859   	0.00198492402939577967
42781  	0.00198492402939577967
45341  	0.00191403388548878754
99664  	0.00189040383751979017
57400  	0.00189040383751979017
42821  	0.00186677378955079279
431    	0.00184314374158179541
41400  	0.00184314374158179541
78079  	0.00181951369361279803
4580   	0.00181951369361279803
03849  	0.00172499350173680853
5781   	0.00167773340579881377
5119   	0.00167773340579881377
7197   	0.00165410335782981639
J690   	0.00165410335782981639
2989   	0.00165410335782981639
4660   	0.00163047330986081902
M6281  	0.00163047330986081902
71595  	0.00160684326189182164
4414   	0.00155958316595382689
J9621  	0.00155958316595382689
Z471   	0.00155958316595382689
I480   	0.00153595311798482951
4271   	0.00153595311798482951
0380   	0.00151232307001583213
K922   	0.00151232307001583213
42732  	0.00146506297407783738
Z5189  	0.00146506297407783738
I130   	0.00144143292610884000
40391  	0.00144143292610884000
5921   	0.00144143292610884000
78701  	0.00141780287813984262
J9601  	0.00139417283017084525
34590  	0.00137054278220184787
41041  	0.00137054278220184787
42831  	0.00137054278220184787
1629   	0.00134691273423285049
8082   	0.00134691273423285049
49392  	0.00134691273423285049
I25110 	0.00132328268626385312
72210  	0.00132328268626385312
73313  	0.00132328268626385312
185    	0.00129965263829485574
V5413  	0.00129965263829485574
40491  	0.00129965263829485574
M1612  	0.00129965263829485574
I509   	0.00127602259032585836
59080  	0.00127602259032585836
4829   	0.00127602259032585836
L03116 	0.00125239254235686098
53140  	0.00125239254235686098
60001  	0.00125239254235686098
I4891  	0.00125239254235686098
2767   	0.00125239254235686098
M1611  	0.00122876249438786361
29633  	0.00120513244641886623
A047   	0.00118150239844986885
5601   	0.00118150239844986885
99666  	0.00118150239844986885
78900  	0.00115787235048087148
2851   	0.00115787235048087148
7804   	0.00115787235048087148
2809   	0.00115787235048087148
I2699  	0.00113424230251187410
1623   	0.00113424230251187410
5693   	0.00113424230251187410
72888  	0.00113424230251187410
25060  	0.00111061225454287672
44021  	0.00111061225454287672
8054   	0.00111061225454287672
99662  	0.00111061225454287672
78039  	0.00108698220657387934
M179   	0.00108698220657387934
5845   	0.00108698220657387934
4260   	0.00108698220657387934
27801  	0.00106335215860488197
R55    	0.00106335215860488197
57410  	0.00106335215860488197
M4806  	0.00106335215860488197
436    	0.00106335215860488197
7993   	0.00106335215860488197
28262  	0.00106335215860488197
J440   	0.00106335215860488197
G459   	0.00106335215860488197
4589   	0.00103972211063588459
I5043  	0.00103972211063588459
7812   	0.00103972211063588459
72252  	0.00103972211063588459
25082  	0.00103972211063588459
03812  	0.00103972211063588459
43311  	0.00103972211063588459
34830  	0.00101609206266688721
6827   	0.00101609206266688721
71531  	0.00101609206266688721
L03115 	0.00101609206266688721
E860   	0.00099246201469788984
K5660  	0.00099246201469788984
29421  	0.00099246201469788984
5722   	0.00099246201469788984
4321   	0.00099246201469788984
72403  	0.00099246201469788984
25070  	0.00096883196672889246
7211   	0.00096883196672889246
7213   	0.00096883196672889246
78060  	0.00096883196672889246
E871   	0.00096883196672889246
45340  	0.00096883196672889246
56089  	0.00094520191875989508
1890   	0.00094520191875989508
I10    	0.00094520191875989508
2536   	0.00092157187079089771
71515  	0.00092157187079089771
29530  	0.00089794182282190033
5579   	0.00089794182282190033
6822   	0.00089794182282190033
41091  	0.00087431177485290295
85221  	0.00087431177485290295
34831  	0.00087431177485290295
41011  	0.00087431177485290295
2113   	0.00087431177485290295
0088   	0.00087431177485290295
6823   	0.00087431177485290295
1983   	0.00087431177485290295
44024  	0.00087431177485290295
25002  	0.00087431177485290295
2768   	0.00085068172688390557
K529   	0.00085068172688390557
25013  	0.00085068172688390557
5533   	0.00085068172688390557
45342  	0.00082705167891490820
R4182  	0.00082705167891490820
27669  	0.00082705167891490820
5750   	0.00082705167891490820
99673  	0.00082705167891490820
1625   	0.00080342163094591082
4010   	0.00080342163094591082
I110   	0.00080342163094591082
99642  	0.00080342163094591082
78791  	0.00080342163094591082
7384   	0.00080342163094591082
R0789  	0.00080342163094591082
I2510  	0.00080342163094591082
G309   	0.00080342163094591082
2800   	0.00080342163094591082
25012  	0.00080342163094591082
29534  	0.00080342163094591082
99674  	0.00077979158297691344
40291  	0.00077979158297691344
I120   	0.00077979158297691344
42830  	0.00077979158297691344
43889  	0.00077979158297691344
R531   	0.00077979158297691344
70703  	0.00075616153500791607
53550  	0.00075616153500791607
59010  	0.00075616153500791607
25000  	0.00075616153500791607
7837   	0.00075616153500791607
34982  	0.00073253148703891869
28800  	0.00073253148703891869
53081  	0.00073253148703891869
55321  	0.00073253148703891869
72271  	0.00073253148703891869
J9600  	0.00073253148703891869
5856   	0.00073253148703891869
F250   	0.00073253148703891869
99591  	0.00073253148703891869
29680  	0.00070890143906992131
T814XXA	0.00070890143906992131
71590  	0.00070890143906992131
K5731  	0.00070890143906992131
48283  	0.00070890143906992131
A4151  	0.00070890143906992131
99672  	0.00070890143906992131
29420  	0.00070890143906992131
7230   	0.00068527139110092393
82022  	0.00068527139110092393
5920   	0.00068527139110092393
311    	0.00068527139110092393
99641  	0.00068527139110092393
99811  	0.00068527139110092393
99681  	0.00066164134313192656
V5878  	0.00066164134313192656
K565   	0.00066164134313192656
5570   	0.00066164134313192656
4240   	0.00066164134313192656
53783  	0.00066164134313192656
1749   	0.00066164134313192656
3315   	0.00066164134313192656
29590  	0.00063801129516292918
I350   	0.00063801129516292918
1889   	0.00063801129516292918
29634  	0.00063801129516292918
5780   	0.00063801129516292918
042    	0.00063801129516292918
41402  	0.00063801129516292918
M170   	0.00063801129516292918
53240  	0.00063801129516292918
V4365  	0.00063801129516292918
56400  	0.00061438124719393180
I495   	0.00061438124719393180
56969  	0.00061438124719393180
99647  	0.00061438124719393180
57450  	0.00061438124719393180
99749  	0.00061438124719393180
59971  	0.00061438124719393180
V1588  	0.00061438124719393180
6820   	0.00061438124719393180
55221  	0.00061438124719393180
7210   	0.00061438124719393180
7242   	0.00061438124719393180
29630  	0.00061438124719393180
5715   	0.00059075119922493443
I69354 	0.00059075119922493443
S065X0A	0.00059075119922493443
99649  	0.00059075119922493443
515    	0.00059075119922493443
T8351XA	0.00059075119922493443
99762  	0.00059075119922493443
56985  	0.00059075119922493443
57420  	0.00059075119922493443
3320   	0.00059075119922493443
4439   	0.00059075119922493443
R079   	0.00056712115125593705
V5849  	0.00056712115125593705
S72141A	0.00056712115125593705
85220  	0.00056712115125593705
99883  	0.00056712115125593705
55010  	0.00056712115125593705
3383   	0.00056712115125593705
4389   	0.00056712115125593705
1985   	0.00056712115125593705
8244   	0.00056712115125593705
490    	0.00056712115125593705
4821   	0.00056712115125593705
73027  	0.00054349110328693967
81200  	0.00054349110328693967
4552   	0.00054349110328693967
F319   	0.00054349110328693967
44023  	0.00054349110328693967
K921   	0.00054349110328693967
1830   	0.00054349110328693967
99812  	0.00054349110328693967
D62    	0.00054349110328693967
29644  	0.00054349110328693967
1820   	0.00054349110328693967
2760   	0.00054349110328693967
8052   	0.00054349110328693967
