number of diagnoses	share_of_rows
1	0.01001914033885488788
2	0.01221673479997164394
3	0.02157423379569460526
4	0.03083721259954157707
5	0.04137621399371440724
6	0.04863063872019660200
7	0.05642855454996573643
8	0.06240695668612207283
9	0.09489827264349346629
10	0.05836621848342352135
11	0.05756279685247761053
12	0.05820080814764053971
13	0.05727923627684964200
14	0.04690564521845979347
15	0.04863063872019660200
16	0.04109265341808643872
17	0.03679198468772891609
18	0.05278952716274014036
19	0.02367730806493537182
20	0.02100711264443866821
21	0.02152697369975661051
22	0.01526501098797230558
23	0.01422528887733642099
24	0.01528864103594130296
25	0.05300219759446111676
